Class,Mean_Hue,Mean_Saturation,Mean_Value
MATANG,21.18160514628005,88.20638841774745,66.35382658095362
MATANG,19.261749115725106,80.36170231035551,61.48517840370896
MATANG,23.29918107776623,87.12059252038328,68.0366227818189
MATANG,20.43258918311984,80.8199179797566,61.572128354749104
MATANG,18.59917961021962,77.85973454891989,55.587732278281806
MATANG,19.32691458628924,80.64998857187106,60.06680006769449
MATANG,19.559897446593794,95.39256106867369,66.19007460757179
MATANG,18.541915629184068,83.6362003469655,61.6996662736556
MATANG,19.63247449591335,88.00267062258948,64.32137116314622
MATANG,17.161910982993945,87.11125673822465,55.43123560555345
MATANG,18.39791136892748,86.50260473911392,60.935743315481304
MATANG,20.71444212620651,83.7010876081613,63.4917906379269
MATANG,24.409447065905958,133.00038874373013,72.67695130617894
MATANG,26.137032320996784,125.79802749245619,70.6909126703603
MATANG,25.173542538868126,126.57376248351352,73.88017778546592
MATANG,23.337689813103257,131.00642629293978,71.32774203278312
MATANG,17.03613677409524,51.505383866479484,40.62347905967107
MATANG,12.458513081772946,61.53885485776663,38.99806580479007
MATANG,10.718729079654683,67.54233934423773,38.01543968320977
MATANG,16.02720003971743,51.08477439124918,39.68509259906877
MATANG,17.550090176055633,78.26914149147699,49.917655491247174
MATANG,19.025863167202893,48.602110332027735,42.761780496243084
MATANG,10.861326056383765,49.671057233068886,31.411118351701603
MATANG,12.710433069882697,46.41856568239044,31.180633599198657
MATANG,10.614356540137088,62.81579760846106,36.057754828540595
MATANG,11.836078009781978,58.39703599298575,37.02175091425031
MATANG,16.963866348344357,49.48614854569253,39.28168807827581
MATANG,19.427799673018125,45.962874505405566,41.884355765772064
MATANG,21.461365430347115,70.72802848539197,54.407126781039544
MATANG,21.005607433154815,74.70226898318379,54.624303539847325
MATANG,17.81653387971863,77.74157425286265,52.61957928873324
MATANG,16.09255769643892,97.84263107376951,60.5059498086569
MATANG,21.800315460072742,68.1312851586699,53.73151265961911
MATANG,16.30780603655003,69.33373258927679,45.555902753492134
MATANG,17.138350146629765,69.71736160723206,46.59516883655402
MATANG,22.381524493665193,59.74151976629164,50.70664648738035
MATANG,21.61062194625407,70.70852026338403,54.07829017705482
MATANG,16.115162597919706,74.76047500424652,49.586413047551005
MATANG,18.98325888396515,72.75082541690813,51.56589690204033
MATANG,22.99775012614656,61.461520459473235,52.049613067284824
MATANG,13.653579845776463,62.91697651675626,43.637075098419295
MATANG,14.17512358615935,63.64329921339502,44.248173685078235
MATANG,16.267255381836893,100.31295259761995,60.77883619806759
MATANG,11.714885668751624,63.86455543953958,40.71659770238404
MATANG,20.970811590745587,50.719041167492655,43.60420455226714
MATANG,16.794320688285605,63.98634385428948,43.69775409164485
MATANG,21.55931230141284,51.25016502093283,43.626199641294136
MATANG,23.009045083031914,44.66045280370096,43.910319163286104
MATANG,19.620119939149898,40.48446320891869,37.200122149837135
MATANG,12.337006137817207,74.58185498577913,44.512280009357774
MATANG,16.25181928623007,60.85559021228153,41.07106337867311
MATANG,22.397945203586904,52.503557751112616,46.11003630743612
MATANG,15.408125239470658,60.01315799168852,41.88466333188423
MATANG,19.845904483323675,97.31478921659239,63.28738512544713
MATANG,14.37966253978897,71.90651203616375,44.57476711478381
MATANG,16.025812173951486,59.65399068643343,38.844539562395
MATANG,18.773424605426037,57.41025721911934,43.32736214779392
MATANG,12.43081761730378,66.40169061680274,39.626804089053614
MATANG,12.30498246337941,73.48132911742168,43.96926854608152
MATANG,14.766729788676354,57.43881225316101,40.48196831987386
MATANG,24.950113195938577,56.760135365395385,51.97742804827728
MATANG,27.899706924754636,63.1536358553892,55.35545666133691
MATANG,27.761743042456306,57.18368758105161,54.752696117259575
MATANG,27.83757718323558,64.11382477931858,55.28677002895753
MATANG,20.029376848484244,93.93240901835495,63.0819595119502
MATANG,22.76420245217955,62.8371311691326,48.56056742572726
